Unnamed: 0,Hauptbedeutung,on-yomi 1,Bedeutung on-yomi 1,on-yomi 2,Bedeutung on-yomi 2,kun-yomi 1,Bedeutung kun-yomi 1,kun-yomi 2,Bedeutung kun-yomi 2
麻,Hanf,MA,,,,asa,,,
旧,ehemalig,KYUU,,,,,,,
肪,Fett,BOU,,,,,,,
裂,zerreißen,RETSU,,,,sa.ku / .keru,zerreißen [trans.] / zerreißen [intrans.],,
香,Duft,KOU,,,,kao.ru,duften,,
尽,aufbrauchen,JIN,,,,tsu.kusu / .kiru,aufbrauchen (tr. / intr.),,
令,Befehl,REI,Verordnung,*RYOU,,,,,
俵,Strohsack,HYOU,,,,tawara,,,
傍,Seite,BOU,,,,katawa.ra,,,
酸,Säure,SAN,,,,su.i,sauer,,
飽,Sättigung,HOU,,,,a.kiru,überdrüssig werden,,
陰,Schatten,IN,Ying (dunkles Prinzip),,,kage,Schatten,,
膨,Ausdehnung,BOU,,,,fuku.ramu,anschwellen,,
摂,Vertretung,SETSU,Verwaltung,,,,,,
拾,aufheben,SHUU,aufsammeln,,,hiro.u,,,
幼,kindlich,YOU,,,,osana.i,,,
鈍,stumpf,DON,,,,nibu.i,,nibu.ru,stumpf werden
承,erhalten,SHOU,,,,uketamawa.ru,erhalten [bescheiden],,
諾,Zustimmung,DAKU,,,,,,,
陳,Erklärung,CHIN,Aneinanderreihung,,,,,,
昇,aufsteigen,SHOU,,,,nobo.ru,,,
澄,klar (Flüssigkeit),CHOU,,,,su.mu,klar werden,,
輝,Glanz,KI,Strahlen,,,kagaya.ku,"glänzen, strahlen",,
薪,Brennholz,SHIN,,,,takigi,,,
炭,Kohle,TAN,,,,sumi,Holzkohle,,
壌,Erde,JOU,,,,,,,
汁,Suppe,JUU,,,,shiru,,,
紫,Violett,SHI,,,,murasaki,,,
瓶,Flasche,BIN,,,,,,,
貢,Tribut,KOU,,,,mitsu.gu,Tribut entrichten,,
献,schenken,KEN,,,,,,,
漏,auslaufen,ROU,,,,mo.rasu/.reru,"durch-, aussickern lassen / auslaufen",,
永,lange Zeit,EI,,,,naga.i,,,
稚,kindlich,CHI,,,,,,,
桑,Maulbeerbaum,SOU,,,,kuwa,,,
既,bereits,KI,,,,sude.ni,,,
諭,Ermahnung,YU,,,,,,,
為,machen,I,,,,tame,Zweck,,
殴,prügeln,OU,,,,nagu.ru,,,
且,überdies,,,,,ka.tsu,,,
丙,Dritter,HEI,,,,,,,
乙,Zweiter,OTSU,,,,,,,
乱,Unruhe,RAN,Verfall,,,mida.reru,in Unordnung geraten,,
了,Ende,RYOU,,,,,,,
享,Genuss,KYOU,Besitz,,,,,,
仁,Menschlichkeit,JIN,,,,,,,
仙,Eremit,SEN,,,,,,,
仰,emporblicken,GYOU,,,,ao.gu,,,
伐,Abholzung,BATSU,Unterwerfung,,,,,,
伏,sich hinlegen,FUKU,,,,fu.su,,,
但,jedoch,,,,,tada.shi,,,
佳,Schönheit,KA,gut,,,,,,
侍,Samurai,JI,,,,samurai,,,
侮,verachten,BU,,,,anado.ru,,,
併,vereinen,HEI,,,,awa.seru,,,
侯,Landesfürst,KOU,,,,,,,
侵,Überfall [milit.],SHIN,,,,oka.su,[in ein Land] einfallen,,
俗,Sitte,ZOKU,,,,,,,
倹,Sparsamkeit,KEN,,,,,,,
俸,Gehalt,HOU,,,,,,,
倣,Nachahmung,HOU,,,,,,,
偵,Auskundschaftung,TEI,,,,,,,
傑,hervorragend,KETSU,,,,,,,
債,Schulden,SAI,,,,,,,
舗,Geschäft,HO,,,,,,,
儒,Konfuzianismus,JU,,,,,,,
償,entschädigen,SHOU,,,,tsuguna.u,,,
兆,Billion,CHOU,,,,kiza.shi,Anzeichen,,
克,Überwindung,KOKU,,,,,,,
兼,Neben-,KEN,,,,ka.neru,zugleich sein,,
冗,nutzlos,JOU,,,,,,,
冠,Krone,KAN,,,,kanmuri,,,
准,Semi-,JUN,,,,,,,
凝,starr,GYOU,,,,ko.ru,"steif werden, verspannt sein",,
凶,Unheil,KYOU,,,,,,,
凹,konkav,OU,,,,,,,
凸,konvex,TOTSU,,,,,,,
刀,Schwert,TOU,,,,katana,,,
刃,Klinge,JIN,,,,ha,,,
刈,mähen,,,,,ka.ru,,,
刷,drucken,SATSU,,,,su.ru,,,
剛,hart,GOU,,,,,,,
劣,unterlegen sein,RETSU,,,,oto.ru,,,
励,Eifer,REI,,,,hage.masu / .mu,anspornen / mit Eifer betreiben ,,
劾,Untersuchung,GAI,,,,,,,
勅,kaiserlicher Erlass,CHOKU,,,,,,,
勘,Intuition,KAN,,,,,,,
勲,Verdienst,KUN,,,,,,,
匠,Handwerker,SHOU,,,,,,,
匿,verbergen,TOKU,,,,,,,
升,Hohlmaß,SHOU,,,,masu,,,
卑,Verachtung,HI,,,,iya.shii,gemein,,
却,Rückgabe,KYAKU,,,,,,,
即,sofort,SOKU,,,,,,,
卸,Großhandel,,,,,oroshi,,,
厄,Unheil,YAKU,,,,,,,
厘,Rin (Längenmaß),RIN,,,,,,,
又,ferner,,,,,mata,,,
叙,Beschreibung,JO,,,,,,,
后,Kaiserin,KOU,,,,,,,
吏,Beamter,RI,,,,,,,
吟,rezitieren,GIN,,,,,,,
呈,schenken,TEI,,,,,,,
哀,Mitleid,AI,,,,awa.re,Schwermut,,
唆,anstiften,SA,,,,sosonoka.su,,,
唇,Lippe,SHIN,,,,kuchibiru,,,
哲,Weisheit,TETSU,,,,,,,
喝,Schrei,KATSU,,,,,,,
喚,Schrei,KAN,,,,,,,
喪,Trauer,SOU,,,,,,,
嗣,Erbe,SHI,,,,,,,
嘱,Auftrag,SHOKU,,,,,,,
嚇,Bedrohung,KAKU,,,,,,,
囚,Gefangener,SHUU,,,,,,,
圧,Druck,ATSU,,,,,,,
坑,Bergwerk,KOU,,,,,,,
垂,hängen,SUI,,,,ta.rasu / .reru,herabhängen lassen / herabhängen,,
坪,tsubo (Flächenmaß),,,,,tsubo,,,
垣,Zaun,,,,,kaki,,,
堅,hart,KEN,zuverlässig,,,kata.i,,,
堕,Sturz,DA,,,,,,,
堤,Damm,TEI,,,,tsutsumi,,,
塔,Turm,TOU,,,,,,,
塁,Festung,RUI,Base (Baseball),,,,,,
塀,Mauer,HEI,,,,,,,
塊,Klumpen,KAI,Haufen,,,katamari,,,
塑,Modellierung,SO,,,,,,,
墜,Sturz,TSUI,,,,,,,
墾,urbar machen,KON,,,,,,,
壇,Podium,DAN,,,,,,,
壮,Kraft,SOU,,,,,,,
壱,eins,ICHI,,,,,,,
奔,laufen,HON,,,,,,,
奴,Sklave,DO,,,,,,,
妃,Prinzessin,HI,,,,,,,
妄,Torheit,MOU,,BOU,,,,,
妥,Ruhe,DA,,,,,,,
妊,schwanger,NIN,,,,,,,
妨,stören,BOU,,,,samata.geru,,,
姓,Familienname,SEI,,*SHOU,Herkunft,,,,
姻,Heirat,IN,,,,,,,
姫,Prinzessin,,,,,hime,,,
娠,schwanger,SHIN,,,,,,,
婆,alte Frau,BA,,,,,,,
婿,Schwiegersohn,SEI,,,,muko,,,
嫡,Hauptfrau,CHAKU,,,,,,,
孤,Waise,KO,allein,,,,,,
宜,gut gelegen,GI,,,,,,,
宰,Verwaltung,SAI,,,,,,,
宵,Abend,SHOU,,,,yoi,,,
寛,Nachsichtigkeit,KAN,,,,,,,
寡,wenig,KA,,,,,,,
封,Siegel,FUU,,HOU,Lehen,,,,
尉,Offizier,I,,,,,,,
尚,Hochachtung,SHOU,,,,nao,zudem,,
尺,Maß,SHAKU,,,,,,,
尼,Nonne,NI,,,,ama,,,
尿,Harn,NYOU,,,,,,,
屈,Krümmung,KUTSU,,,,,,,
屯,Garnison,TON,,,,,,,
岐,Abzweigung,KI,,,,,,,
岳,Berggipfel,GAKU,,,,take,,,
岬,Kap,,,,,misaki,,,
峠,Bergpass,,,,,touge,,,
峰,Gipfel,HOU,,,,mine,,,
崇,Verehrung,SUU,,,,,,,
巡,Patrouille,JUN,,,,megu.ru,umhergehen,,
巨,riesengroß,KYO,,,,,,,
巧,Geschicklichkeit,KOU,,,,taku.mi,,,
帆,Segel,HAN,,,,ho,,,
帥,Heerführer,SUI,,,,,,,
幅,Breite,FUKU,,,,haba,,,
幣,Geld,HEI,,,,,,,
幻,Trugbild,GEN,,,,maboroshi,,,
幾,einige,KI,,,,iku,wie viele,,
庸,Mittelmaß,YOU,,,,,,,
廉,Redlichkeit,REN,,,,,,,
弊,Missstand,HEI,,,,,,,
弐,zwei,NI,,,,,,,
弔,Beileid,CHOU,,,,tomura.u,Beileid aussprechen,,
弦,Bogensehne,GEN,,,,tsuru,,,
弧,Kreisbogen,KO,,,,,,,
彰,öffentlich,SHOU,,,,,,,
径,Durchmesser,KEI,,,,,,,
循,Kreislauf,JUN,,,,,,,
忌,Tabu,KI,,,,i.mawashii,abscheulich,,
忍,Geduld,NIN,Versteck,,,shino.bu,"erdulden, einschleichen",,
怪,verdächtig,KAI,,,,aya.shii,seltsam,,
怠,Faulheit,TAI,,,,nama.keru,faulenzen,,
恭,Respekt,KYOU,,,,,,,
恨,Groll,KON,,,,ura.mu,übel nehmen,,
悦,Freude,ETSU,,,,,,,
悟,Erkenntnis,GO,,,,sato.ru,verstehen,,
悠,Gelassenheit,YUU,Ferne,,,,,,
悼,Trauer,TOU,,,,,,,
慈,liebevoll,JI,,,,,,,
愁,Kummer,SHUU,,,,ure.i,,ure.eru,betrübt sein
惰,Trägheit,DA,,,,,,,
愉,Freude,YU,,,,,,,
慨,Kummer,GAI,,,,,,,
慕,Sehnsucht,BO,,,,shita.u,sich sehnen nach,,
慰,Trost,I,,,,nagusa.meru,trösten,,
慶,Freude,KEI,,,,,,,
憎,Hass,ZOU,,,,niku.mu,hassen,niku.i,abscheulich
憂,Kummer,YUU,,,,,,,
憤,Empörung,FUN,,,,,,,
憾,Bedauern,KAN,,,,,,,
懇,Freundlichkeit,KON,Vertrautheit,,,nengo.ro,"freundlich, vertraut",,
懲,Bestrafung,CHOU,,,,ko.riru,eine Lehre aus etw. ziehen,,
戒,Warnung,KAI,,,,imashi.meru,ermahnen,,
戯,Spiel,GI,,,,tawamu.reru,"spielen, scherzen",,
扉,Tür,HI,,,,tobira,,,
抄,abschreiben,SHOU,kopieren,,,,,,
択,Auswahl,TAKU,,,,,,,
把,Griff,HA,,,,,,,
扶,Unterstützung,FU,,,,,,,
拐,Entführung,KAI,,,,,,,
拡,Erweiterung,KAKU,,,,,,,
拘,Festnahme,KOU,,,,,,,
拙,ungeschickt,SETSU,,,,,,,
拍,klatschen,HAKU,,,,,,,
抹,zerreiben,MATSU,,,,,,,
括,zusammenbinden,KATSU,,,,,,,
挟,einklemmen,KYOU,,,,hasa.mu/.maru,etw. einklemmen / etw. wird eingekemmt,,
拷,Folter,GOU,,,,,,,
挿,einfügen,SOU,,,,sa.su,,,
掛,aufhängen,,,,,ka.keru,,,
据,aufstellen,KYO,,,,su.eru,,,
掌,Handfläche,SHOU,Leitung,,,,,,
措,Benehmen,SO,,,,,,,
搭,einsteigen,TOU,,,,,,,
搬,Transport,HAN,,,,,,,
搾,auspressen,SAKU,,,,shibo.ru,,,
摘,Auswahl,TEKI,,,,tsu.mu,pflücken,,
撤,zurückziehen,TETSU,,,,,,,
擁,beschützen,YOU,,,,,,,
敢,Wagnis,KAN,,,,,,,
斗,To (Hohlmaß),TO,,,,,,,
斤,Kin (Gewichtsmaß),KIN,,,,,,,
斥,Ablehnung,SEKI,,,,,,,
旋,Rotation,SEN,,,,,,,
旗,Fahne,KI,,,,hata,,,
旨,Inhalt,SHI,Sinn,,,mune,,,
昆,Seetang,KON,Insekt,,,,,,
是,richtig,ZE ,,,,,,,
暁,Morgendämmerung,GYOU,,,,,,,
暫,provisorisch,ZAN,,,,,,,
曹,Beamter,SOU,,,,,,,
朕,Ich (Selbst-bezeichnung desTenno),CHIN,,,,,,,
朽,verfaulen,KYUU,,,,,,,
朱,rot,SHU,,,,,,,
朴,schlicht,BOKU,,,,,,,
枠,Rahmen,,,,,waku,,,
某,ein gewisser,BOU,,,,,,,
桟,Balken,SAN,,,,,,,
栓,Verschluss,SEN,Hydrant,,,,,,
巣,Nest,SOU,,,,su,,,
棺,Sarg,KAN,,,,,,,
棋,Shougi (jap. Schach),KI,,,,,,,
棄,Verzicht,KI,,,,,,,
楼,Gebäude,ROU,,,,,,,
槽,Wanne,SOU,,,,,,,
樹,Baum,JU,,,,,,,
款,Artikel (jur.),KAN,,,,,,,
欺,betrügen,GI,,,,azamu.ku,,,
殊,Besonderheit,SHU,,,,koto,,,
殉,in den Tod folgen,JUN,,,,,,,
殖,Vermehrung,SHOKU,,,,fu.yasu / .eru,vermehren [tr. / intr.],,
殻,Schale [eines Geteides],KAKU,,,,kara,,,
沼,Sumpf,SHOU,,,,numa,,,
泥,Schlamm,DEI,,,,doro,,,
泌,heraussickern,HI,,HITSU,,,,,
泡,Schaum,HOU,Blase,,,awa,,,
洪,Überschwemmung,KOU,,,,,,,
浄,Reinheit,JOU,,,,,,,
洞,Höhle,DOU,,,,,,,
浸,eintauchen,SHIN,,,,hita.su / .ru,eintauchen [trans. / intrans.],,
浪,herumwandern,ROU,Welle,,,,,,
涯,Grenze,GAI,,,,,,,
渇,austrocknen,KATSU,,,,kawa.ku,dürsten,,
渓,Tal,KEI,,,,,,,
淑,Anmut,SHUKU,,,,,,,
渦,Strudel,KA,,,,uzu,Strudel,,
溝,Abwassergraben,KOU,,,,mizo,,,
滝,Wasserfall,,,,,taki,,,
漬,einlegen,,,,,tsu.keru,,,
漸,allmählich,ZEN,,,,,,,
滴,Tropfen,TEKI,,,,shizuku,,shitata.ru,tropfen
漂,treiben,HYOU,,,,tadayo.u,,,
潤,feucht sein,JUN,,,,uruo.u ,,,
