Unnamed: 0,Hauptbedeutung,on-yomi 1,Bedeutung on-yomi 1,on-yomi 2,Bedeutung on-yomi 2,kun-yomi 1,Bedeutung kun-yomi 1,kun-yomi 2,Bedeutung kun-yomi 2
謄,Kopie,TOU,,,,,,,
譜,Aufzeichnung,FU,,,,,,,
貞,Keuschheit,TEI,Treue,,,,,,
貨,Ware,KA,Geld,,,,,,
賊,Räuber,ZOKU,,,,,,,
賜,Geschenk,SHI,,,,tamawa.ru,schenken,,
賠,Entschädigung,BAI,,,,,,,
賦,Zahlung,FU,,,,,,,
赦,Vergebung,SHA,,,,,,,
距,Entfernung,KYO,,,,,,,
跳,Sprung,CHOU,,,,to.bu,springen,ha.neru,hüpfen
軌,Gleise,KI,Wagenspur,,,,,,
轄,Zuständigkeit,KATSU,,,,,,,
辱,Beleidigung,JOKU,,,,,,,
迅,Schnelligkeit,JIN,,,,,,,
迭,Veränderung,TETSU,,,,,,,
逝,sterben,SEI,,,,yu.ku,,,
逐,Vertreibung,CHIKU,eines nach dem anderen,,,,,,
逓,Post,TEI,allmählich,,,,,,
逸,außerordentlich,ITSU,Abweichung,,,,,,
遇,Begegnung,GUU,,,,,,,
遍,Allgegenwart,HEN,,,,,,,
遮,Behinderung,SHA,,,,saegi.ru,"behindern,unterbrechen",,
遵,Befolgung,JUN,,,,,,,
遷,Veränderung,SEN,,,,,,,
邦,Japan,HOU,Staat,,,,,,
郡,Bezirk,GUN,,,,,,,
郭,Umriss,KAKU,Stadtteil,,,,,,
酔,betrunken sein,SUI,,,,yo.u,,,
酢,Essig,SAKU,,,,su,,,
酬,Erwiderung,SHUU,,,,,,,
酪,Milchprodukt,RAKU,,,,,,,
酵,Hefe,KOU,Gärung,,,,,,
酷,streng,KOKU,,,,,,,
醜,hässlich,SHUU,,,,miniku.i,,,
醸,Brauerei,JOU,,,,kamo.su,"brauen, hervorbringen",,
釈,erklären,SHAKU,,,,,,,
鉢,Schüssel,HACHI,,HATSU,,,,,
銃,Gewehr,JUU,,,,,,,
銅,Kupfer,DOU,,,,,,,
銘,Qualität,MEI,Inschrift,,,,,,
鋭,Schärfe,EI,,,,surudo.i,scharf,,
鋳,Metall gießen,CHUU,,,,i.ru,,,
鋼,Stahl,KOU,,,,hagane,,,
錯,Irrtum,SAKU,,,,,,,
錬,Raffinierung,REN,Training,,,,,,
鎮,Beruhigung,CHIN,,,,shizu.meru / .maru,"beruhigen,befrieden / zur Ruhe kommen",,
鐘,Glocke,SHOU,,,,kane,,,
閑,Muße,KAN,,,,,,,
閥,Clique,BATSU,,,,,,,
閲,Durchsicht,ETSU,,,,,,,
阻,Verhinderung,SO,,,,haba.mu,"hindern, hemmen",,
附,Zugehörigkeit,FU,,,,,,,
陛,Thronstufen,HEI,,,,,,,
陪,Begleitung,BAI,,,,,,,
陵,kaiserliches Grab,RYOU,Hügel,,,misasagi,,,
隅,Ecke,GUU,,,,sumi,,,
随,Befolgung,ZUI,,,,,,,
隊,Gruppe,TAI,,,,,,,
隔,Trennung,KAKU,,,,heda.teru / .taru,trennen / getrennt sein,,
隷,Diener,REI,,,,,,,
隻,[ZEW für Schiffe],SEKI,,,,,,,
雇,einstellen,KO,,,,yato.u,(jmd.) einstellen,,
零,Null,REI,,,,,,,
需,Bedarf,JU,,,,,,,
霜,Frost,SOU,,,,shimo,,,
韻,Reim,IN,,,,,,,
頒,Verteilung,HAN,,,,,,,
頻,Häufigkeit,HIN,,,,,,,
顕,Deutlichkeit,KEN,,,,,,,
顧,Rücksicht,KO,,,,,,,
飢,Hunger leiden,KI,,,,u.eru,,,
餓,Hunger leiden,GA,,,,,,,
騎,Ritt,KI,,,,,,,
騰,Anstieg,TOU,,,,,,,
髄,Knochenmark,ZUI,,,,,,,
鬼,Teufel,KI,,,,oni,,,
魂,Seele,KON,,,,tamashii,,,
魔,Zauberei,MA,Dämon,,,,,,
力,Kraft,RYOKU,,RIKI,,chikara,,,
淡,seicht,TAN,,,,awa.i,,,
五,fünf,GO,,,,itsu (=.tsu),,,
株,Aktie,,,,,kabu,,,
僧,Mönch,SOU,,,,,,,
獲,Beute,KAKU,,,,e.ru,erlangen,,
筒,Rohr,TOU,,,,tsutsu,,,
賢,Weisheit,KEN,,,,kashiko.i,klug,,
倫,Ethik,RIN,,,,,,,
軸,Achse,JIKU,,,,,,,
幽,verborgen,YUU,still,,,,,,
紳,Herr,SHIN,,,,,,,
枢,bedeutend,SUU,,,,,,,
鯨,Wal,GEI,,,,kujira,,,
糾,Untersuchung,KYUU,,,,,,,
串,Spieß,,,,,kushi,,,
乞,betteln,,,,,ko.u,,,
俺,ich,,,,,ore,,,
伎,Theaterspiel,GI,,,,,,,
僅,wenig,KIN,,,,wazu.ka,,,
傲,Hochmut,GOU,,,,,,,
侶,Begleiter,RYO,,,,,,,
冥,Jenseits,MEI,,,,,,,
凄,fürchterlich,SEI,,,,sugo.i (=susa.majii),"fürchterlich, irrsinnig",,
冶,Metallurgie,YA,,,,,,,
刹,Augenblick,SETSU,,,,,,,
剥,abblättern,HAKU,,,,ha.gareru,,,
勃,energisch,BOTSU,,,,,,,
勾,Festnahme,KOU,steil,,,,,,
咽,Rachen,IN,,,,,,,
唄,Lied,,,,,uta,,,
嗅,Geruch,KYUU,,,,ka.gu,an etw. schnuppern,,
喉,Rachen,KOU,,,,nodo,,,
呪,verfluchen,JU,,,,noro.u,,,
唾,Speichel,DA,,,,tsuba,,,
嘲,Spott,CHOU,,,,azake.ru,verspotten,,
哺,säugen,HO,,,,,,,
喩,Metapher,YU,,,,tato.eru,vergleichen,,
塞,verschließen,SAI,,,,fusa.gu / .geru,verschließen [trans. / intrans.],,
堆,Anhäufung,TAI,,,,,,,
填,Füllung,TEN,,,,,,,
媛,Prinzessin,EN,,,,hime,,,
嫉,Eifersucht,SHITSU,,,,,,,
妬,Eifersucht,TO,,,,,,,
妖,mysteriös,YOU,,,,aya.shii,,,
宛,Adressat,,,,,a.te,,,
尻,Gesäß,,,,,shiri,"Gesäß, Hinterteil",,
嵐,Sturm,,,,,arashi,,,
岡,Hügel,,,,,oka,,,
崖,Klippe,GAI,,,,gake,,,
巾,Tuch,KIN,,,,,,,
弄,befingern,ROU,,,,moteaso.bu,"mit jmd. verfahren, wie man will",iji.ru,"angreifen, befingern"
弥,höchst,,,,,ya,,,
彙,Sammlung,I,,,,,,,
怨,Groll,ON,,EN,,,,,
惧,Furcht,GU,,,,,,,
憬,Sehnsucht,KEI,,,,,,,
恣,Willkür,SHI,,,,,,,
憧,Sehnsucht,SHOU,,,,akoga.reru,sich sehnen,,
慄,Furcht,RITSU,,,,,,,
戚,Verwandtschaft,SEKI,,,,,,,
戴,Empfang,DAI,,TAI,Ernennung,,,,
挨,Begrüßung,AI,,,,,,,
拳,Faust,KEN,,,,kobushi,,,
挫,Verstauchung,ZA,,,,,,,
拶,Begrüßung,SATSU,,,,,,,
摯,Ernsthaftigkeit,SHI,,,,,,,
拭,wegwischen,SHOKU,,,,fu.ku (=nugu.u),,,
捉,Festnahme,SOKU,,,,tora.eru,"festnehmen, packen",,
捗,Fortschritt,CHOKU,,,,,,,
捻,Drehung,NEN,,,,,,,
拉,Verschleppung,RA,,,,,,,
斑,Fleck,HAN,,,,,,,
斬,niederstrecken,ZAN,,,,ki.ru,,,
曖,vage,AI,,,,,,,
旺,Gedeihen,OU,,,,,,,
旦,Hausherr,DAN,,TAN,Morgendämmerung,,,,
昧,Dunkelheit,MAI,Unwissen,,,,,,
曽,"Ur(-enkel,großeltern, etc.)",SOU,,,,,,,
椅,Sessel,I,,,,,,,
楷,Blockschrift,KAI,,,,,,,
柿,Kaki,,,,,kaki,,,
桁,"Ziffer, Stelle (math.)",,,,,keta,,,
梗,Infarkt,KOU,,,,,,,
柵,Zaun,SAKU,,,,,,,
椎,Wirbel,TSUI,,,,,,,
梨,Nashi,,,,,nashi,,,
枕,Polster,,,,,makura,,,
毀,Beschädigung,KI,,,,,,,
淫,Wollust,IN,,,,mida.ra,,,
潰,Verfall,KAI,,,,tsubu.su / .reru,"zerquetschen, vernichten / zugrunde gehen",,
沙,Nachricht,SA,Sand,,,,,,
汰,Nachricht,TA,,,,,,,
溺,ertrinken,DEKI,,,,obo.reru,,,
氾,Überschwemmung,HAN,,,,,,,
汎,Gesamt-,HAN,,,,,,,
湧,herausströmen,YUU,,,,wa.ku,,,
沃,Fruchtbarkeit,YOKU,,*YOU,,,,,
煎,rösten,SEN,,,,i.ru,,,
爪,"[Finger-, Zehen-] Nagel",,,,,tsume,"Nagel, Kralle",,
爽,erfrischend,SOU,,,,sawa.yaka,,,
牙,"Fangzähne, Hauer",GA,,,,kiba,,,
狙,Zielen ,SO,,,,nera.u,"zielen, abzielen auf etw.",,
玩,Spiel,GAN,,,,,,,
璧,perfekt,HEKI,,,,,,,
璃,Lapislazuli,RI,,,,,,,
瑠,Lapislazuli,RU,,,,,,,
瓦,Ziegelstein,GA,,,,kawara,,,
畏,fürchten,I,,,,oso.reru,,,
畿,Hauptstadt,KI,,,,,,,
痕,Narbe,KON,Überbleibsel,,,ato,,,
痩,schlank,SOU,,,,ya.seru,schlank werden,,
瘍,Geschwür,YOU,,,,,,,
瞳,Pupille,DOU,,,,hitomi,,,
眉,Augenbraue,BI,,,,mayu,,,
睦,gutes Verhältnis,BOKU,,,,,,,
瞭,deutlich,RYOU,,,,,,,
稽,Übung,KEI,,,,,,,
窟,Höhle,KUTSU,,,,,,,
箸,Essstäbchen,,,,,hashi,,,
籠,sich einschließen,ROU,,,,komo.ru,,kago ,Käfig
綻,aufgehen,TAN,,,,hokoro.biru,"aufgehen, sich entfalten",,
罵,beschimpfen,BA,,,,nonoshi.ru,,,
羞,Scham,SHUU,,,,,,,
羨,Neid,SEN,,,,uraya.mashii,neidisch,uraya.mu,beneiden
臆,Furcht,OKU,Vermutung,,,,,,
股,Gabelung,KO,,,,mata,"Schenkel, Schritt (Schamgegend)",momo,Oberschenkel
腫,Schwellung,SHU,Geschwür,,,ha.reru,anschwellen,,
腎,Niere,JIN,,,,,,,
脊,Rückgrat,SEKI,,,,,,,
腺,Drüse,SEN,,,,,,,
膳,Gedeck,ZEN,,,,,,,
膝,Knie,,,,,hiza,,,
肘,Ellenbogen,,,,,hiji,,,
脇,Flanke,,,,,waki,,,
臼,Mörser,KYUU,,,,usu,,,
舷,Schiffsseite,GEN,,,,,,,
艶,reizvoll,EN,,,,tsuya,Glanz,,
萎,verwelken,I,,,,,,,
苛,hart,KA,,,,,,,
蓋,Deckel,GAI,,,,futa,,,
葛,Ranke,KATSU,,,,kuzu,kuzu (=Pfeilwurz)-Pflanze / -Pulver,,
芯,Futter (Kleidung),SHIN,,,,,,,
蔽,Tarnung,HEI,,,,,,,
蔑,Verachtung,BETSU,,,,,,,
藍,Indigo,RAN,,,,,,,
虎,Tiger,KO,,,,tora,,,
虹,Regenbogen,,,,,niji,,,
蜂,Biene,HOU,,,,hachi,,,
蜜,Honig,MITSU,,,,,,,
袖,Ärmel,SHUU,,,,sode,,,
裾,Saum,,,,,suso,,,
諧,Humor,KAI,Harmonie,,,,,,
詣,Tempel-Schreinbesuch,KEI,,,,mou.de,,,
詮,Diskussion,SEN,Untersuchung,,,,,,
諦,Einsicht,TEI,,,,akira.meru,resignieren,,
謎,Rätsel,,,,,nazo,,,
訃,Todesanzeige,FU,,,,,,,
貌,Aussehen,BOU,,,,,,,
貼,aufkleben,CHOU,,,,ha.ru,,,
賭,Glücksspiel,TO,,,,ka.keru,wetten,,
貪,Gier,DON,,,,,,,
賂,Bestechung,RO,,,,,,,
蹴,Tritt,SHUU,,,,ke.ru,treten,,
踪,Spur,SOU,,,,,,,
辣,Arglist,RATSU,,,,,,,
遡,flussaufwärts,SO,,,,sakanobo.ru,"flussaufwärts gehen, in der Zeit zurückgehen",,
遜,Unterordnung,SON,,,,,,,
那,Augenblick,,,,,,,,
醒,aufwachen,SEI,,,,,,,
酎,Branntwein,CHUU,,,,,,,
采,Erscheinung,SAI,,,,,,,
釜,Kessel,,,,,kama,,,
鎌,Sichel,,,,,kama,,,
錦,Brokatstoff,KIN,,,,nishiki,,,
鍵,Schlüssel,KEN,Taste,,,kagi,Schlüssel,,
錮,Kerker,KO,,,,,,,
鍋,Topf,,,,,nabe,,,
闇,Dunkelheit,AN,,,,yami,,,
隙,Spalt,GEKI,,,,suki,"Spalt, ungeschützte Stelle (=zum Angriff einladende Stelle)",,
阜,Hügel,FU,,,,,,,
顎,Kiefer (anat.),GAKU,,,,ago,,,
須,Notwendigkeit,SU,,,,,,,
頓,plötzlich,TON,,,,,,,
頬,Wange,KYOU,,,,hoo,,,
餌,Futter,JI,,,,esa,,,
餅,gestampfter Süßreis,HEI,,,,mochi,,,
駒,Pferd,,,,,koma,,,
骸,Gebeine,GAI,,,,,,,
鬱,Depression,UTSU,,,,,,,
鶴,Kranich,,,,,tsuru,,,
鹿,Rotwild,,,,,shika,,,
麓,Fuß eines Berges,ROKU,,,,fumoto,,,
麺,Nudel,MEN,,,,,,,
亀,Schildkröte,,,,,kame,,,
謹,Respekt zeigen,KIN,,,,tsutsushi.mu,,,
緻,fein,CHI,,,,,,,
